order_id,customer_id,product_id,order_date,quantity,category,price,total_amount
1,428,37,12/22/2023,4,Electronics,260,1040
2,294,29,9/30/2023,1,Electronics,188,188
3,852,3,3/9/2023,1,Gaming,321,321
4,151,15,2/13/2023,4,Audio,466,1864
5,384,36,3/2/2023,3,Electronics,225,675
6,638,47,5/3/2023,3,Gaming,193,579
7,813,46,12/15/2023,4,Electronics,232,928
8,308,19,7/15/2023,3,Accessories,294,882
9,336,13,11/26/2023,4,Gaming,343,1372
10,946,42,11/19/2023,3,Electronics,315,945
11,746,21,4/21/2023,3,Accessories,128,384
12,892,37,9/15/2023,4,Electronics,260,1040
13,375,27,3/30/2023,4,Gaming,334,1336
14,8,29,7/17/2023,3,Electronics,188,564
15,341,20,10/9/2023,4,Audio,10,40
16,129,25,7/19/2023,3,Electronics,254,762
17,776,6,4/9/2023,2,Electronics,216,432
18,669,36,1/27/2023,1,Electronics,225,225
19,352,2,3/30/2023,1,Electronics,53,53
20,358,22,5/26/2023,3,Accessories,44,132
21,517,32,7/1/2023,1,Gaming,499,499
22,495,16,9/14/2023,3,Audio,302,906
23,86,18,7/8/2023,4,Audio,291,1164
24,175,5,8/28/2023,2,Audio,376,752
25,802,36,12/25/2023,1,Electronics,225,225
26,193,30,7/15/2023,1,Electronics,215,215
27,311,45,10/24/2023,4,Audio,48,192
28,119,19,6/14/2023,2,Accessories,294,588
29,218,23,11/3/2023,2,Gaming,207,414
30,427,34,9/28/2023,2,Audio,190,380
31,970,13,1/8/2023,4,Gaming,343,1372
32,414,43,2/7/2023,1,Audio,294,294
33,114,29,4/24/2023,1,Electronics,188,188
34,978,36,12/5/2023,2,Electronics,225,450
35,145,22,2/25/2023,4,Accessories,44,176
36,538,47,12/25/2023,4,Gaming,193,772
37,648,36,5/18/2023,4,Electronics,225,900
38,303,9,4/12/2023,2,Electronics,260,520
39,744,39,11/30/2023,4,Accessories,135,540
40,881,19,6/26/2023,2,Accessories,294,588
41,588,38,6/18/2023,2,Gaming,308,616
42,987,6,12/5/2023,2,Electronics,216,432
43,840,47,10/13/2023,3,Gaming,193,579
44,345,15,9/18/2023,2,Audio,466,932
45,814,20,8/11/2023,4,Audio,10,40
46,964,9,7/18/2023,3,Electronics,260,780
47,801,32,7/30/2023,1,Gaming,499,499
48,1,4,10/14/2023,1,Accessories,165,165
49,147,50,6/29/2023,4,Electronics,416,1664
50,287,18,9/7/2023,4,Audio,291,1164
51,976,5,8/19/2023,4,Audio,376,1504
52,654,20,1/23/2023,4,Audio,10,40
53,53,23,2/17/2023,3,Gaming,207,621
54,304,11,4/19/2023,4,Gaming,413,1652
55,69,37,10/23/2023,2,Electronics,260,520
56,361,22,1/6/2023,1,Accessories,44,44
57,602,4,2/7/2023,4,Accessories,165,660
58,958,29,6/18/2023,2,Electronics,188,376
59,220,44,12/22/2023,4,Electronics,194,776
60,962,34,10/10/2023,2,Audio,190,380
